request_id,category,status,priority,latitude,longitude,neighbourhood,ward,service_district,created_date,days_open
SR-000235,Illegal Dumping,Closed,High,43.671082,-79.287566,Scarborough Village,Ward 7,South District,2025-11-15,0
SR-000236,Public Realm Cleanliness,Open,Medium,43.663422,-79.203281,High Park North,Ward 9,West District,2026-02-09,37
SR-000237,Overflowing Litter Bin,Closed,Low,43.619127,-79.537881,Flemingdon Park,Ward 19,West District,2025-11-26,0
SR-000238,Illegal Dumping,In Progress,Low,43.703397,-79.582308,Etobicoke Centre,Ward 17,South District,2026-01-07,14
SR-000239,Missed Collection,In Progress,High,43.635075,-79.185867,North York Centre,Ward 10,South District,2025-11-08,35
SR-000240,Overflowing Litter Bin,In Progress,Urgent,43.814593,-79.446921,Scarborough Village,Ward 9,South District,2025-11-06,36
SR-000241,Missed Collection,Open,Medium,43.802356,-79.369381,Etobicoke Centre,Ward 16,North District,2025-11-08,30
SR-000242,Public Realm Cleanliness,In Progress,Urgent,43.652041,-79.296897,Etobicoke Centre,Ward 24,West District,2025-12-14,13
SR-000243,Damaged Bin,In Progress,Medium,43.741547,-79.165002,Kensington Chinatown,Ward 5,East District,2026-01-05,27
SR-000244,Missed Collection,In Progress,Medium,43.650961,-79.310853,Scarborough Village,Ward 9,East District,2025-11-12,11
SR-000245,Public Realm Cleanliness,In Progress,Medium,43.601965,-79.567723,Scarborough Village,Ward 8,West District,2026-03-19,13
SR-000246,Overflowing Litter Bin,Open,High,43.590901,-79.160248,Agincourt South,Ward 16,South District,2026-01-08,42
SR-000247,Overflowing Litter Bin,Open,Medium,43.774523,-79.258107,High Park North,Ward 5,West District,2026-02-19,18
SR-000248,Public Realm Cleanliness,Closed,Medium,43.707237,-79.481969,York University Heights,Ward 2,South District,2026-04-21,0
SR-000249,Missed Collection,Open,High,43.624791,-79.48905,Etobicoke Centre,Ward 10,West District,2026-01-12,24
SR-000250,Missed Collection,Closed,Urgent,43.676473,-79.272097,Flemingdon Park,Ward 5,North District,2026-03-29,0
SR-000251,Public Realm Cleanliness,Closed,Low,43.714122,-79.584358,North York Centre,Ward 22,East District,2025-12-20,0
SR-000252,Overflowing Litter Bin,Open,Low,43.594147,-79.572927,Danforth East York,Ward 11,South District,2026-02-25,28
SR-000253,Overflowing Litter Bin,Open,Low,43.684415,-79.190731,Annex,Ward 7,East District,2026-01-04,27
SR-000254,Public Realm Cleanliness,In Progress,Low,43.736603,-79.25116,Agincourt South,Ward 18,East District,2025-10-29,8
SR-000255,Public Realm Cleanliness,In Progress,Urgent,43.697266,-79.453634,Agincourt South,Ward 22,North District,2026-02-14,10
SR-000256,Damaged Bin,In Progress,High,43.614932,-79.217071,High Park North,Ward 1,West District,2025-11-08,4
SR-000257,Overflowing Litter Bin,Closed,High,43.770127,-79.542666,North York Centre,Ward 13,East District,2025-11-14,0
SR-000258,Illegal Dumping,Closed,Low,43.70782,-79.395808,North York Centre,Ward 8,South District,2026-01-17,0
SR-000259,Damaged Bin,Open,High,43.733771,-79.184754,High Park North,Ward 3,North District,2026-02-09,14
SR-000260,Damaged Bin,Open,High,43.723347,-79.3715,York University Heights,Ward 14,West District,2026-02-15,6
SR-000261,Damaged Bin,Closed,Urgent,43.601574,-79.591063,Danforth East York,Ward 23,South District,2026-04-01,0
SR-000262,Illegal Dumping,Open,Low,43.63309,-79.605063,Danforth East York,Ward 14,East District,2025-12-31,45
SR-000263,Missed Collection,Open,Medium,43.760971,-79.287268,York University Heights,Ward 15,North District,2026-04-26,26
SR-000264,Illegal Dumping,Open,High,43.621293,-79.235404,Etobicoke Centre,Ward 3,West District,2026-03-17,16
SR-000265,Overflowing Litter Bin,Closed,Urgent,43.625601,-79.481459,Danforth East York,Ward 15,South District,2026-03-23,0
SR-000266,Overflowing Litter Bin,In Progress,High,43.647265,-79.448739,High Park North,Ward 7,West District,2026-01-10,24
SR-000267,Damaged Bin,Open,Urgent,43.648573,-79.395083,Etobicoke Centre,Ward 8,West District,2026-04-21,36
SR-000268,Public Realm Cleanliness,Closed,Medium,43.683704,-79.166178,Downtown Yonge East,Ward 15,North District,2026-02-18,0
SR-000269,Overflowing Litter Bin,Closed,Low,43.602863,-79.554597,Scarborough Village,Ward 20,South District,2025-11-24,0
SR-000270,Overflowing Litter Bin,In Progress,Low,43.60215,-79.332113,Danforth East York,Ward 6,West District,2026-04-23,34
SR-000271,Damaged Bin,Closed,Urgent,43.602537,-79.235238,Downtown Yonge East,Ward 8,North District,2026-03-09,0
SR-000272,Illegal Dumping,In Progress,Urgent,43.707746,-79.377576,Scarborough Village,Ward 5,South District,2026-03-05,39
SR-000273,Illegal Dumping,Open,Medium,43.719167,-79.541426,Scarborough Village,Ward 6,South District,2026-03-20,2
SR-000274,Illegal Dumping,In Progress,Medium,43.635469,-79.473344,Etobicoke Centre,Ward 15,North District,2026-01-22,38
SR-000275,Damaged Bin,Closed,Low,43.726504,-79.523346,Waterfront Communities,Ward 16,North District,2026-02-03,0
SR-000276,Damaged Bin,Closed,Medium,43.616756,-79.173746,Flemingdon Park,Ward 13,South District,2025-11-25,0
SR-000277,Missed Collection,In Progress,Low,43.595056,-79.250759,North York Centre,Ward 2,West District,2026-01-31,16
SR-000278,Illegal Dumping,Closed,Low,43.771248,-79.483282,Waterfront Communities,Ward 9,South District,2026-02-08,0
SR-000279,Illegal Dumping,Closed,Medium,43.621194,-79.553011,North York Centre,Ward 2,North District,2026-02-19,0
SR-000280,Public Realm Cleanliness,Open,Urgent,43.750409,-79.324309,Danforth East York,Ward 15,North District,2026-04-04,21
SR-000281,Public Realm Cleanliness,Closed,Urgent,43.770032,-79.188759,Annex,Ward 9,West District,2026-02-05,0
SR-000282,Overflowing Litter Bin,Open,Urgent,43.749143,-79.548308,High Park North,Ward 24,East District,2026-01-06,19
SR-000283,Public Realm Cleanliness,In Progress,High,43.645992,-79.232591,North York Centre,Ward 11,South District,2026-03-15,21
SR-000284,Damaged Bin,Closed,Medium,43.63814,-79.58664,North York Centre,Ward 22,South District,2026-04-13,0
SR-000285,Overflowing Litter Bin,Open,Low,43.751754,-79.434838,Kensington Chinatown,Ward 6,West District,2025-12-27,17
SR-000286,Damaged Bin,Open,Urgent,43.801609,-79.320883,Downtown Yonge East,Ward 16,West District,2026-01-03,23
SR-000287,Public Realm Cleanliness,Closed,Urgent,43.610796,-79.183986,Agincourt South,Ward 16,West District,2026-03-20,0
SR-000288,Illegal Dumping,Open,Low,43.649468,-79.464882,Kensington Chinatown,Ward 10,North District,2026-03-14,33
SR-000289,Public Realm Cleanliness,In Progress,Medium,43.68252,-79.596437,Etobicoke Centre,Ward 1,North District,2026-01-10,5
SR-000290,Damaged Bin,Open,Low,43.704199,-79.563273,Danforth East York,Ward 1,East District,2025-11-03,44
SR-000291,Damaged Bin,Open,High,43.682223,-79.458673,Etobicoke Centre,Ward 4,East District,2026-03-18,2
SR-000292,Damaged Bin,Open,Urgent,43.767753,-79.250542,Agincourt South,Ward 21,East District,2025-11-25,43
SR-000293,Illegal Dumping,Open,Low,43.625285,-79.451386,York University Heights,Ward 20,South District,2026-02-02,37
SR-000294,Overflowing Litter Bin,Open,Low,43.675871,-79.550351,York University Heights,Ward 10,East District,2026-04-12,5
SR-000295,Public Realm Cleanliness,Closed,Urgent,43.773644,-79.294675,Downtown Yonge East,Ward 13,East District,2026-03-12,0
SR-000296,Damaged Bin,Open,Low,43.633788,-79.451308,Waterfront Communities,Ward 7,North District,2026-01-17,26
SR-000297,Overflowing Litter Bin,In Progress,Low,43.614335,-79.331025,High Park North,Ward 16,South District,2026-02-06,44
SR-000298,Overflowing Litter Bin,Closed,High,43.617916,-79.16647,York University Heights,Ward 4,East District,2025-12-16,0
SR-000299,Damaged Bin,Open,Urgent,43.769557,-79.44049,Scarborough Village,Ward 16,East District,2025-12-03,39
SR-000300,Missed Collection,Closed,Urgent,43.72307,-79.200783,Danforth East York,Ward 20,North District,2026-01-05,0
SR-000301,Damaged Bin,Closed,Low,43.717443,-79.539731,Waterfront Communities,Ward 17,East District,2025-12-29,0
SR-000302,Overflowing Litter Bin,Closed,Medium,43.677102,-79.232153,Agincourt South,Ward 17,West District,2026-02-11,0
SR-000303,Damaged Bin,Closed,Low,43.738169,-79.320667,Agincourt South,Ward 10,North District,2026-03-25,0
SR-000304,Illegal Dumping,Closed,Medium,43.789369,-79.208772,North York Centre,Ward 14,East District,2025-12-02,0
SR-000305,Public Realm Cleanliness,Open,Low,43.801552,-79.576369,Waterfront Communities,Ward 17,West District,2025-12-17,28
SR-000306,Missed Collection,Closed,Urgent,43.715149,-79.279366,York University Heights,Ward 24,East District,2026-01-26,0
SR-000307,Public Realm Cleanliness,In Progress,Low,43.764093,-79.340911,North York Centre,Ward 1,West District,2025-11-08,30
SR-000308,Overflowing Litter Bin,Open,Urgent,43.628361,-79.253187,Waterfront Communities,Ward 3,South District,2025-10-28,20
SR-000309,Public Realm Cleanliness,In Progress,Urgent,43.755626,-79.580378,York University Heights,Ward 15,East District,2026-01-29,12
SR-000310,Overflowing Litter Bin,Open,Low,43.696676,-79.53997,Flemingdon Park,Ward 20,East District,2025-11-05,7
SR-000311,Public Realm Cleanliness,Closed,Low,43.66762,-79.611683,Waterfront Communities,Ward 13,West District,2026-04-23,0
SR-000312,Damaged Bin,Open,Urgent,43.682076,-79.367057,Flemingdon Park,Ward 13,South District,2026-02-08,40
SR-000313,Illegal Dumping,Closed,Urgent,43.732504,-79.314794,High Park North,Ward 3,North District,2026-03-23,0
SR-000314,Overflowing Litter Bin,Open,Low,43.782347,-79.520887,Waterfront Communities,Ward 23,North District,2026-04-20,14
SR-000315,Overflowing Litter Bin,Closed,Medium,43.617711,-79.228293,Scarborough Village,Ward 21,North District,2026-04-04,0
SR-000316,Damaged Bin,In Progress,Medium,43.626021,-79.17161,Agincourt South,Ward 14,West District,2026-03-28,11
SR-000317,Damaged Bin,Open,Urgent,43.783784,-79.389597,Agincourt South,Ward 1,South District,2025-11-28,16
SR-000318,Illegal Dumping,Open,Urgent,43.815727,-79.575207,Waterfront Communities,Ward 11,West District,2026-03-31,41
SR-000319,Damaged Bin,Closed,Urgent,43.659705,-79.326417,Agincourt South,Ward 24,East District,2026-04-17,0
SR-000320,Damaged Bin,Closed,Urgent,43.670502,-79.192949,North York Centre,Ward 19,South District,2026-02-26,0
SR-000321,Missed Collection,Closed,Low,43.605094,-79.367271,Scarborough Village,Ward 19,East District,2025-12-06,0
SR-000322,Illegal Dumping,Open,Urgent,43.725899,-79.319745,Agincourt South,Ward 4,South District,2025-11-18,42
SR-000323,Damaged Bin,In Progress,Urgent,43.648803,-79.452299,Waterfront Communities,Ward 6,East District,2026-03-08,31
SR-000324,Damaged Bin,In Progress,Medium,43.784047,-79.530326,North York Centre,Ward 8,East District,2025-11-23,43
SR-000325,Overflowing Litter Bin,Closed,High,43.78018,-79.361179,Flemingdon Park,Ward 23,South District,2026-01-10,0
SR-000326,Illegal Dumping,Closed,Urgent,43.765303,-79.291741,Annex,Ward 20,North District,2026-02-13,0
SR-000327,Missed Collection,Closed,Urgent,43.637728,-79.358346,Annex,Ward 6,North District,2026-03-17,0
SR-000328,Damaged Bin,Closed,Low,43.789576,-79.421227,Scarborough Village,Ward 16,East District,2026-02-25,0
SR-000329,Public Realm Cleanliness,Open,Low,43.812316,-79.411981,Waterfront Communities,Ward 12,East District,2026-01-25,44
SR-000330,Overflowing Litter Bin,Open,Low,43.622841,-79.44086,Downtown Yonge East,Ward 11,South District,2026-03-28,40
SR-000331,Missed Collection,Open,Medium,43.808892,-79.472928,Agincourt South,Ward 9,East District,2026-01-26,3
SR-000332,Illegal Dumping,Closed,Medium,43.789663,-79.214625,Flemingdon Park,Ward 17,West District,2025-10-28,0
SR-000333,Damaged Bin,Open,Urgent,43.670543,-79.581701,Downtown Yonge East,Ward 4,West District,2025-12-04,3
SR-000334,Missed Collection,Closed,Medium,43.756648,-79.476704,York University Heights,Ward 4,North District,2026-01-24,0
SR-000335,Illegal Dumping,Open,Urgent,43.770072,-79.416379,North York Centre,Ward 16,West District,2026-03-18,42
SR-000336,Illegal Dumping,In Progress,Medium,43.701611,-79.262162,Downtown Yonge East,Ward 7,South District,2026-01-10,1
SR-000337,Damaged Bin,Open,High,43.677944,-79.416161,High Park North,Ward 17,North District,2026-04-05,18
SR-000338,Damaged Bin,In Progress,High,43.676524,-79.451023,York University Heights,Ward 22,North District,2026-03-19,34
SR-000339,Overflowing Litter Bin,Closed,Medium,43.710968,-79.247952,Scarborough Village,Ward 14,South District,2025-12-30,0
SR-000340,Illegal Dumping,Closed,Low,43.673207,-79.378843,Agincourt South,Ward 5,West District,2025-12-15,0
SR-000341,Missed Collection,Open,High,43.744267,-79.496058,Danforth East York,Ward 13,North District,2026-01-05,4
SR-000342,Missed Collection,Closed,Medium,43.65383,-79.19063,Etobicoke Centre,Ward 2,East District,2026-01-09,0
SR-000343,Public Realm Cleanliness,Closed,High,43.756413,-79.354494,Flemingdon Park,Ward 24,East District,2026-01-28,0
SR-000344,Illegal Dumping,Open,Medium,43.738976,-79.606522,Flemingdon Park,Ward 13,South District,2025-11-13,14
SR-000345,Public Realm Cleanliness,Closed,Urgent,43.732164,-79.385626,Flemingdon Park,Ward 12,South District,2026-03-07,0
SR-000346,Missed Collection,In Progress,Low,43.715522,-79.454665,North York Centre,Ward 11,South District,2026-03-25,34
SR-000347,Illegal Dumping,Closed,Medium,43.608739,-79.531064,Downtown Yonge East,Ward 17,East District,2025-12-14,0
SR-000348,Overflowing Litter Bin,In Progress,Low,43.808671,-79.431998,Waterfront Communities,Ward 18,East District,2026-02-24,20
SR-000349,Damaged Bin,Closed,Low,43.697337,-79.595753,Flemingdon Park,Ward 2,East District,2026-02-19,0
SR-000350,Public Realm Cleanliness,Closed,High,43.59864,-79.290097,Downtown Yonge East,Ward 2,West District,2026-01-02,0
SR-000351,Public Realm Cleanliness,In Progress,Low,43.713762,-79.385995,Agincourt South,Ward 11,North District,2025-11-29,37
SR-000352,Public Realm Cleanliness,Closed,Medium,43.645919,-79.277415,Danforth East York,Ward 10,East District,2025-11-07,0
SR-000353,Public Realm Cleanliness,Closed,Medium,43.628694,-79.53263,Flemingdon Park,Ward 13,North District,2026-03-31,0
SR-000354,Public Realm Cleanliness,In Progress,Medium,43.695964,-79.488311,Danforth East York,Ward 15,West District,2026-03-20,28
SR-000355,Missed Collection,Closed,Low,43.646916,-79.323191,Waterfront Communities,Ward 14,North District,2025-12-26,0
SR-000356,Damaged Bin,Open,Low,43.739724,-79.240722,Danforth East York,Ward 22,South District,2025-11-27,36
SR-000357,Damaged Bin,Closed,High,43.686073,-79.586381,Etobicoke Centre,Ward 16,South District,2026-01-04,0
SR-000358,Damaged Bin,Closed,Urgent,43.652943,-79.169197,Annex,Ward 5,North District,2025-12-23,0
SR-000359,Damaged Bin,Closed,Medium,43.727139,-79.293521,Flemingdon Park,Ward 17,West District,2025-10-31,0
SR-000360,Damaged Bin,Open,Urgent,43.591692,-79.381625,Waterfront Communities,Ward 24,North District,2025-12-04,24
SR-000361,Public Realm Cleanliness,Open,Urgent,43.598632,-79.358154,Downtown Yonge East,Ward 4,East District,2025-12-01,19
SR-000362,Public Realm Cleanliness,Open,Medium,43.801777,-79.174527,Downtown Yonge East,Ward 12,East District,2026-01-21,20
SR-000363,Damaged Bin,In Progress,Low,43.714327,-79.409226,Annex,Ward 5,South District,2026-04-14,20
SR-000364,Overflowing Litter Bin,In Progress,Medium,43.807354,-79.310139,Flemingdon Park,Ward 16,West District,2026-03-26,36
SR-000365,Missed Collection,In Progress,Low,43.604927,-79.405766,Scarborough Village,Ward 16,East District,2025-12-03,29
SR-000366,Damaged Bin,In Progress,Urgent,43.645256,-79.40389,Flemingdon Park,Ward 20,North District,2026-03-22,33
SR-000367,Damaged Bin,Closed,Urgent,43.694757,-79.352213,York University Heights,Ward 15,North District,2026-02-02,0
SR-000368,Public Realm Cleanliness,Open,Urgent,43.672057,-79.544436,Scarborough Village,Ward 8,South District,2026-01-30,35
SR-000369,Damaged Bin,Open,High,43.705855,-79.238107,York University Heights,Ward 3,North District,2026-04-20,37
SR-000370,Illegal Dumping,Closed,Low,43.742723,-79.464351,York University Heights,Ward 18,West District,2026-03-08,0
SR-000371,Public Realm Cleanliness,Closed,Low,43.80517,-79.200385,Etobicoke Centre,Ward 17,North District,2025-12-26,0
SR-000372,Missed Collection,Closed,Low,43.63815,-79.601868,York University Heights,Ward 18,North District,2026-04-22,0
SR-000373,Overflowing Litter Bin,In Progress,Medium,43.760501,-79.239299,Flemingdon Park,Ward 19,South District,2026-04-05,35
SR-000374,Illegal Dumping,Closed,Urgent,43.812609,-79.210675,Etobicoke Centre,Ward 2,South District,2026-04-21,0
SR-000375,Damaged Bin,In Progress,Medium,43.728123,-79.376176,Scarborough Village,Ward 1,East District,2026-01-19,17
SR-000376,Missed Collection,Open,Low,43.596403,-79.506538,North York Centre,Ward 6,East District,2026-03-21,12
SR-000377,Missed Collection,In Progress,Medium,43.695711,-79.330888,High Park North,Ward 14,North District,2026-04-11,40
SR-000378,Overflowing Litter Bin,In Progress,Low,43.718168,-79.278387,Flemingdon Park,Ward 2,East District,2026-01-17,7
SR-000379,Overflowing Litter Bin,In Progress,Urgent,43.654346,-79.360122,Danforth East York,Ward 9,South District,2026-03-27,4
SR-000380,Overflowing Litter Bin,Open,Medium,43.610273,-79.429714,Agincourt South,Ward 17,South District,2026-03-28,18
SR-000381,Illegal Dumping,Open,Urgent,43.762537,-79.301036,North York Centre,Ward 14,West District,2025-12-24,2
SR-000382,Overflowing Litter Bin,Closed,Low,43.817848,-79.49217,High Park North,Ward 18,West District,2026-02-22,0
SR-000383,Overflowing Litter Bin,Closed,High,43.704584,-79.468416,Etobicoke Centre,Ward 14,South District,2026-04-05,0
SR-000384,Public Realm Cleanliness,Closed,Medium,43.691339,-79.225803,Annex,Ward 12,North District,2026-02-23,0
SR-000385,Damaged Bin,Closed,Urgent,43.747368,-79.214077,Waterfront Communities,Ward 1,South District,2025-11-19,0
SR-000386,Overflowing Litter Bin,In Progress,Low,43.636808,-79.218254,Waterfront Communities,Ward 16,East District,2025-11-24,17
SR-000387,Damaged Bin,Closed,High,43.603745,-79.211244,York University Heights,Ward 7,East District,2026-04-15,0
SR-000388,Public Realm Cleanliness,Open,Low,43.665687,-79.47529,High Park North,Ward 3,South District,2025-10-30,8
SR-000389,Public Realm Cleanliness,Open,High,43.70778,-79.187283,Scarborough Village,Ward 7,East District,2025-11-03,22
SR-000390,Illegal Dumping,Closed,Urgent,43.60099,-79.457974,High Park North,Ward 8,East District,2026-01-29,0
SR-000391,Damaged Bin,Open,High,43.787012,-79.437815,Waterfront Communities,Ward 23,North District,2025-11-12,1
SR-000392,Damaged Bin,Closed,Low,43.635806,-79.424595,Waterfront Communities,Ward 22,North District,2026-01-11,0
SR-000393,Damaged Bin,Closed,Urgent,43.678677,-79.198909,North York Centre,Ward 3,West District,2025-12-10,0
SR-000394,Damaged Bin,Open,Low,43.765245,-79.387647,Danforth East York,Ward 13,East District,2026-01-17,12
SR-000395,Missed Collection,Closed,Low,43.817325,-79.405972,Agincourt South,Ward 12,North District,2026-01-03,0
SR-000396,Overflowing Litter Bin,Open,Low,43.603395,-79.499354,High Park North,Ward 22,East District,2026-03-08,6
SR-000397,Illegal Dumping,Closed,Medium,43.690296,-79.547825,Kensington Chinatown,Ward 16,East District,2026-04-17,0
SR-000398,Damaged Bin,In Progress,Medium,43.80794,-79.26725,Waterfront Communities,Ward 7,South District,2026-03-29,18
SR-000399,Public Realm Cleanliness,Closed,Urgent,43.651706,-79.34823,Annex,Ward 18,North District,2025-11-09,0
SR-000400,Public Realm Cleanliness,Closed,Medium,43.755933,-79.187012,Downtown Yonge East,Ward 19,North District,2026-04-10,0
SR-000401,Illegal Dumping,Open,Medium,43.792776,-79.383012,North York Centre,Ward 24,East District,2026-03-08,44
SR-000402,Public Realm Cleanliness,Open,High,43.76817,-79.361413,York University Heights,Ward 18,South District,2026-04-26,28
SR-000403,Missed Collection,Closed,High,43.717122,-79.567219,Scarborough Village,Ward 14,East District,2026-03-26,0
SR-000404,Public Realm Cleanliness,Closed,Urgent,43.619012,-79.376415,Agincourt South,Ward 12,West District,2026-02-28,0
SR-000405,Illegal Dumping,Open,Urgent,43.651838,-79.610323,North York Centre,Ward 15,East District,2026-04-25,26
SR-000406,Illegal Dumping,Open,Low,43.756253,-79.605056,Etobicoke Centre,Ward 1,North District,2025-11-01,28
SR-000407,Overflowing Litter Bin,Open,Medium,43.726914,-79.371971,Annex,Ward 11,East District,2026-04-10,41
SR-000408,Missed Collection,Closed,Low,43.812827,-79.397262,Agincourt South,Ward 14,West District,2025-11-26,0
SR-000409,Illegal Dumping,Closed,High,43.604628,-79.366224,Kensington Chinatown,Ward 4,South District,2026-02-24,0
SR-000410,Missed Collection,In Progress,High,43.783452,-79.161449,North York Centre,Ward 8,West District,2025-11-24,40
SR-000411,Missed Collection,Closed,Urgent,43.688979,-79.472663,Etobicoke Centre,Ward 4,West District,2026-04-11,0
SR-000412,Damaged Bin,Open,High,43.79853,-79.532029,Flemingdon Park,Ward 3,North District,2026-04-11,29
SR-000413,Illegal Dumping,Open,Urgent,43.731549,-79.433371,Downtown Yonge East,Ward 4,West District,2025-12-04,4
SR-000414,Damaged Bin,In Progress,Urgent,43.599449,-79.460247,Downtown Yonge East,Ward 20,South District,2026-02-26,39
SR-000415,Public Realm Cleanliness,Closed,Low,43.651003,-79.304398,Agincourt South,Ward 13,South District,2026-01-07,0
SR-000416,Public Realm Cleanliness,Closed,Low,43.808222,-79.496698,Danforth East York,Ward 21,West District,2025-12-31,0
SR-000417,Illegal Dumping,Closed,Medium,43.776637,-79.594534,Downtown Yonge East,Ward 4,West District,2025-11-25,0
SR-000418,Missed Collection,Closed,Medium,43.713768,-79.587547,Etobicoke Centre,Ward 5,East District,2026-01-26,0
SR-000419,Damaged Bin,Closed,Urgent,43.804828,-79.267478,Annex,Ward 8,North District,2026-04-15,0
SR-000420,Overflowing Litter Bin,Open,High,43.741328,-79.241008,Etobicoke Centre,Ward 14,East District,2026-02-06,38
SR-000421,Overflowing Litter Bin,Closed,Medium,43.73893,-79.174286,Agincourt South,Ward 10,East District,2026-02-11,0
SR-000422,Missed Collection,In Progress,Medium,43.75421,-79.194657,Waterfront Communities,Ward 8,West District,2026-01-08,23
SR-000423,Overflowing Litter Bin,Open,Medium,43.70894,-79.56615,Downtown Yonge East,Ward 11,North District,2025-11-07,31
SR-000424,Damaged Bin,Closed,High,43.711481,-79.561638,Etobicoke Centre,Ward 19,East District,2025-11-20,0
SR-000425,Damaged Bin,In Progress,High,43.726274,-79.398053,Annex,Ward 4,South District,2026-04-16,32
SR-000426,Missed Collection,Open,Medium,43.733192,-79.615378,Flemingdon Park,Ward 8,South District,2025-11-18,14
SR-000427,Damaged Bin,Open,High,43.634813,-79.393988,Flemingdon Park,Ward 13,North District,2026-01-14,12
SR-000428,Illegal Dumping,Open,Low,43.808616,-79.44354,Downtown Yonge East,Ward 12,West District,2025-12-05,8
SR-000429,Illegal Dumping,Open,Urgent,43.687606,-79.29124,Kensington Chinatown,Ward 21,East District,2026-04-15,2
SR-000430,Overflowing Litter Bin,Open,High,43.728872,-79.482494,Annex,Ward 8,East District,2026-03-13,22
SR-000431,Overflowing Litter Bin,Closed,Medium,43.684488,-79.519858,Kensington Chinatown,Ward 1,North District,2026-02-18,0
SR-000432,Missed Collection,Open,Medium,43.812185,-79.559908,Scarborough Village,Ward 21,West District,2026-01-30,14
SR-000433,Damaged Bin,In Progress,Medium,43.675522,-79.608114,Danforth East York,Ward 12,North District,2025-12-13,40
SR-000434,Missed Collection,Closed,Low,43.641009,-79.260983,Annex,Ward 5,North District,2026-03-08,0
SR-000435,Damaged Bin,Closed,High,43.63627,-79.583171,Danforth East York,Ward 20,South District,2025-11-15,0
SR-000436,Missed Collection,Open,Medium,43.699124,-79.615414,North York Centre,Ward 10,North District,2026-02-02,16
SR-000437,Illegal Dumping,Open,Medium,43.609496,-79.248492,North York Centre,Ward 19,South District,2026-03-04,6
SR-000438,Public Realm Cleanliness,Closed,Low,43.767439,-79.199036,Annex,Ward 17,South District,2025-11-12,0
SR-000439,Illegal Dumping,Closed,Urgent,43.786539,-79.305739,North York Centre,Ward 15,North District,2026-02-03,0
SR-000440,Illegal Dumping,Closed,Urgent,43.602037,-79.25989,Flemingdon Park,Ward 16,South District,2026-02-17,0
SR-000441,Damaged Bin,Closed,Low,43.784467,-79.252422,Kensington Chinatown,Ward 8,North District,2026-01-01,0
SR-000442,Damaged Bin,Open,Medium,43.70695,-79.512865,High Park North,Ward 14,South District,2025-12-01,11
SR-000443,Illegal Dumping,In Progress,Low,43.784426,-79.285505,Annex,Ward 25,West District,2026-02-10,29
SR-000444,Illegal Dumping,Closed,Medium,43.815575,-79.548381,Etobicoke Centre,Ward 2,South District,2025-12-16,0
SR-000445,Illegal Dumping,Closed,Urgent,43.641903,-79.522573,Agincourt South,Ward 15,South District,2026-01-12,0
SR-000446,Damaged Bin,In Progress,High,43.772284,-79.534023,High Park North,Ward 13,West District,2026-03-12,29
SR-000447,Illegal Dumping,Open,Low,43.605332,-79.160662,Danforth East York,Ward 3,East District,2025-12-19,33
SR-000448,Missed Collection,Closed,High,43.595708,-79.235788,Kensington Chinatown,Ward 4,West District,2026-04-08,0
SR-000449,Missed Collection,In Progress,Medium,43.674034,-79.232857,Danforth East York,Ward 7,East District,2026-02-21,20
SR-000450,Illegal Dumping,Closed,Medium,43.717563,-79.20525,Flemingdon Park,Ward 20,North District,2025-12-08,0
SR-000451,Missed Collection,In Progress,High,43.803024,-79.615815,High Park North,Ward 12,South District,2026-01-13,38
SR-000452,Missed Collection,Closed,Urgent,43.607345,-79.504835,York University Heights,Ward 17,North District,2026-01-15,0
SR-000453,Overflowing Litter Bin,Open,Medium,43.743943,-79.211395,Agincourt South,Ward 8,South District,2025-12-29,22
SR-000454,Illegal Dumping,Open,Medium,43.695787,-79.340792,Scarborough Village,Ward 25,South District,2026-03-04,29
SR-000455,Public Realm Cleanliness,Closed,Low,43.633355,-79.249715,Danforth East York,Ward 5,North District,2026-02-07,0
SR-000456,Missed Collection,Closed,Urgent,43.812485,-79.496444,York University Heights,Ward 12,East District,2026-02-28,0
SR-000457,Damaged Bin,Closed,Urgent,43.70381,-79.580387,Flemingdon Park,Ward 18,East District,2026-02-02,0
SR-000458,Missed Collection,Closed,Low,43.718601,-79.38872,Annex,Ward 5,East District,2025-12-02,0
SR-000459,Public Realm Cleanliness,Closed,Urgent,43.62322,-79.41665,Scarborough Village,Ward 7,South District,2026-04-10,0
SR-000460,Damaged Bin,Closed,Medium,43.666844,-79.379958,Agincourt South,Ward 4,East District,2025-12-02,0
SR-000461,Illegal Dumping,Closed,Low,43.7247,-79.616092,Annex,Ward 4,North District,2026-04-18,0
SR-000462,Public Realm Cleanliness,Closed,Urgent,43.765031,-79.292013,Waterfront Communities,Ward 6,North District,2026-04-09,0
SR-000463,Illegal Dumping,Closed,Medium,43.674246,-79.595649,Kensington Chinatown,Ward 10,West District,2025-12-31,0
SR-000464,Illegal Dumping,Open,Low,43.763634,-79.180619,Annex,Ward 11,South District,2026-01-16,11
SR-000465,Overflowing Litter Bin,Open,Urgent,43.645235,-79.471179,Agincourt South,Ward 24,West District,2026-01-17,14
SR-000466,Overflowing Litter Bin,Open,High,43.632277,-79.354609,Scarborough Village,Ward 23,South District,2026-03-17,39
SR-000467,Illegal Dumping,Closed,Medium,43.625614,-79.456151,North York Centre,Ward 23,South District,2026-02-15,0
SR-000468,Missed Collection,Open,Medium,43.750313,-79.362347,Agincourt South,Ward 3,South District,2025-11-23,16
